0,1,2,3,4,5
"('motion', 0.12)","('order', 0.117)","('redact_deadline', 0.054)","('motion', 0.077)","('request', 0.055)","('order', 0.181)"
"('notice', 0.061)","('motion', 0.111)","('request', 0.054)","('send', 0.052)","('motion', 0.048)","('redaction', 0.032)"
"('due', 0.037)","('notice', 0.035)","('view_public_terminal_purchase', 0.039)","('rule', 0.028)","('order', 0.046)","('calendar', 0.031)"
"('without_redaction_calendar', 0.033)","('conference_hold', 0.027)","('deadline_release', 0.039)","('notice', 0.025)","('letter', 0.038)","('hold', 0.03)"
"('remotely_electronically_available_public', 0.033)","('grant', 0.023)","('amend_complaint', 0.035)","('request', 0.021)","('conference', 0.032)","('schedule', 0.026)"
"('notice_appearance', 0.029)","('abovecaptioned', 0.019)","('minute_entry_hold', 0.035)","('dismiss', 0.019)","('due', 0.03)","('release', 0.026)"
"('dismiss', 0.025)","('discovery', 0.019)","('discovery_hear_hold', 0.032)","('abovecaptioned', 0.018)","('discovery', 0.025)","('revise_schedule', 0.024)"
"('conference_hold', 0.023)","('official_notice_give', 0.018)","('complaint', 0.027)","('answer', 0.018)","('endorsed_letter_address', 0.024)","('endorsement', 0.021)"
"('amend_complaint', 0.02)","('schedule', 0.017)","('answer', 0.019)","('amend_complaint', 0.018)","('issue', 0.02)","('stipulation', 0.017)"
"('memorandum_law_support', 0.019)","('serve', 0.017)","('affidavit_service_summons', 0.019)","('declaration_support', 0.017)","('terminate', 0.02)","('judgment', 0.011)"
