0,1,2,3,4,5,6
"('order', 0.261)","('order', 0.221)","('rule', 0.268)","('hold', 0.214)","('rule', 0.204)","('order', 0.294)","('order', 0.307)"
"('rule', 0.089)","('status_report', 0.123)","('letter_address', 0.224)","('order', 0.174)","('propose', 0.139)","('deposition', 0.126)","('motion', 0.125)"
"('pm', 0.087)","('amend', 0.099)","('discovery', 0.061)","('inc', 0.108)","('order', 0.131)","('due', 0.08)","('discovery', 0.081)"
"('motion', 0.076)","('rule', 0.076)","('schedule', 0.046)","('schedule', 0.099)","('report', 0.084)","('grant', 0.057)","('letter', 0.075)"
"('hold', 0.058)","('letter_address', 0.076)","('order', 0.039)","('motion', 0.079)","('status_report', 0.047)","('deny', 0.057)","('lp', 0.068)"
"('deadline', 0.058)","('discovery', 0.076)","('inc', 0.038)","('letter_address', 0.058)","('letter_address', 0.038)","('letter_address', 0.05)","('protective', 0.044)"
"('inc', 0.051)","('motion_limine', 0.075)","('entry', 0.038)","('discovery', 0.039)","('discovery', 0.038)","('report', 0.041)","('letter_address', 0.038)"
"('status_report', 0.044)","('schedule', 0.052)","('letter', 0.031)","('letter', 0.032)","('schedule', 0.038)","('endorsed_letter_address', 0.036)","('dispute', 0.034)"
"('report', 0.038)","('motion', 0.028)","('due', 0.031)","('propose', 0.032)","('endorsement', 0.029)","('endorsement', 0.036)","('endorsed_letter_address', 0.021)"
"('schedule', 0.038)","('trial', 0.028)","('memo_endorsement', 0.031)","('pm', 0.032)","('associate', 0.029)","('status_report', 0.029)","('inc', 0.017)"
